,Borough,Block,Lot,BIN, Building,Agency,2010 Score *,2010Source EUI (kBtu/ft²)*,2010 GHG Emissions Intensity (kgCO2e/ft²)*,2014 Score *,2014 Source EUI (kBtu/ft²)*,2014 GHG Emissions Intensity (kgCO2e/ft²)*,BBL
540,2.0,2865.0,49.0,2090448.0,Mount Eden Avenue SRO (Single Room Occupancy) Residence,DHS,Not Available,223.6,8.1,Not Available,211.3,7.7,2028650049
541,2.0,3007.0,1.0,2010906.0,Freeman Houses Residence,DHS,Not Available,205.9,8.8,Not Available,236,10.3,2030070001
542,2.0,3752.0,13.0,2088552.0,Commonwealth Avenue SRO (Single Room Occupancy) Residence,DHS,Not Available,211.7,7.5,Not Available,222.1,7.9,2037520013
543,3.0,1102.0,12.0,3026581.0,Park Slope Armory Shelter,DHS,Not Available,184,9,Not Available,173,8.9,3011020012
544,3.0,1199.0,15.0,3029748.0,Atlantic Avenue Men's Shelter (Armory),DHS,Not Available,176.1,6.6,Not Available,197.2,8.4,3011990015
545,3.0,1472.0,1.0,3319475.0,East New York Avenue SRO (Single Room Occupancy) Residence,DHS,Not Available,222.3,8.1,Not Available,193.2,6.8,3014720001
546,3.0,1649.0,1.0,3045367.0,Pamoja House Shelter,DHS,Not Available,35.2,1,Not Available,84.6,4.8,3016490001
547,3.0,1967.0,68.0,3056327.0,BRC Women's Shelter,DHS,Not Available,374.3,10.3,Not Available,317.6,8.5,3019670068
548,3.0,2885.0,1.0,3338306.0,Barbara Kleinman Residence Campus: Barbara Kleinman Residence,DHS,Not Available,Not Available,Not Available,Not Available,123.2,3.8,3028850001
549,3.0,3243.0,44.0,3073772.0,Stockholm Street Family Residence,DHS,Not Available,342.2,14,Not Available,367.4,15.3,3032430044
550,3.0,3426.0,5.0,3319581.0,Bushwick Family Residence,DHS,Not Available,424.3,15.6,Not Available,416.2,15.6,3034260005
551,3.0,3583.0,6.0,3082035.0,Fannie Barnes (Urban Transitional Housing),DHS,Not Available,93.5,4.2,Not Available,66.8,3.1,3035830006
552,3.0,3699.0,1.0,3083637.0,HELP Women's Center Shelter,DHS,Not Available,364.3,15.6,Not Available,244.7,10.1,3036990001
553,3.0,3844.0,1.0,3085646.0,Linden Family Residence,DHS,Not Available,415.2,16.1,Not Available,472.4,18.1,3038440001
554,3.0,3871.0,101.0,3332519.0,Flatlands Avenue Residence,DHS,Not Available,470.3,16.7,Not Available,487.5,17.3,3038710101
555,3.0,4077.0,24.0,3090429.0,Rose McCarthy Family Residence Campus: Rose McCarthy Family Residence,DHS,Not Available,69.2,2.6,Not Available,154.8,6.5,3040770024
556,3.0,4077.0,28.0,3090430.0,Rose McCarthy Family Residence Campus: Rose McCarthy Family Residence,DHS,Not Available,69.2,2.6,Not Available,154.8,6.5,3040770028
557,3.0,4258.0,36.0,3095610.0,Samaritan Forbell Residence,DHS,Not Available,516.3,13.4,Not Available,469.6,12.4,3042580036
558,3.0,4833.0,1.0,3337083.0,Kingsboro MICA 8 Shelter,DHS,Not Available,19.2,0.5,Not Available,42.4,1.8,3048330001
559,4.0,68.0,2.0,4000526.0,Borden Avenue Shelter,DHS,Not Available,334.2,11.4,Not Available,374.8,13.4,4000680002
560,4.0,9662.0,20.0,4314908.0,Briarwood Residence,DHS,Not Available,202.1,7.3,Not Available,258,9.8,4096620020
561,4.0,9833.0,4.0,4448804.0,Jamaica Arms Hotel / Family Respite Residence,DHS,Not Available,260.8,10.8,Not Available,279.3,12.5,4098330004
562,4.0,13307.0,91.0,4430508.0,Springfield Family Residence,DHS,Not Available,438.9,16.5,Not Available,449.6,16.6,4133070091
563,1.0,167.0,1.0,1088394.0,"Manhattan House Detention, South Tower",DOC,Not Available,193.4,6.6,Not Available,174.2,5.9,1001670001
564,1.0,198.0,1.0,1002364.0,"Manhattan House Detention, North Tower",DOC,Not Available,196.3,6.8,Not Available,176.8,6,1001980001
565,2.0,2605.0,40.0,0.0,Rikers Island AMKC Campus: Buildings 3&4,DOC,Not Available,344.9,12.7,Not Available,359.2,14.6,2026050040
566,2.0,2605.0,40.0,0.0,Rikers Island AMKC Campus: Hart Island Module / S1,DOC,Not Available,344.9,12.7,Not Available,359.2,14.6,2026050040
